Book Name,Author,Genre,Average Ratings,Total Ratings,Publisher,Stall Number
Forever Black,Sandi Lynn,Romance,3.98,29720,Lotus Book Publishers,21
Real Murders,Charlaine Harris,Mystery,3.67,29701,Teal Publications,38
A Mango-Shaped Space,Wendy Mass,YoungAdult,4.22,29638,NorthStar Books,47
Lord of Light,Roger Zelazny,ScienceFiction,4.07,29635,Star Light Publishing,50
Swallows and Amazons,Arthur Ransome,Classics,3.98,29624,Quartz Books,36
Rock Chick Regret,Kristen Ashley,Romance,4.54,29602,Onyx Publishing,7
The Swerve: How the World Became Modern,Stephen Greenblatt,History,3.85,29590,Sunrise Books,13
"The Complete Sherlock Holmes, Volume I",Arthur Conan Doyle,Classics,4.49,29575,Ruby Editions,42
Windmills of the Gods,Sidney Sheldon,Fiction,3.86,29521,Onyx Publishing,48
Roadwork,Richard Bachman,Horror,3.61,29518,Heritage Publishing,28
Openly Straight,Bill Konigsberg,Lgbt,3.9,29491,Riverbank Books,50
The Copper Gauntlet,Holly Black,Fantasy,4.13,29479,Sunrise Books,28
Sixth Grave on the Edge,Darynda Jones,Fantasy,4.31,29432,Lotus Pond Press,31
At Bertram's Hotel,Agatha Christie,Mystery,3.73,29415,Coimbatore Press,28
Last to Die,Tess Gerritsen,Mystery,4.12,29373,Orchid Publications,6
The Next Best Thing,Jennifer Weiner,WomensFiction,3.48,29352,Lotus Book Publishers,50
Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil,Music,4.17,29295,Quartz Books,24
The Blue Bistro,Elin Hilderbrand,Fiction,3.99,29277,Orchid Publications,22
Elixir,Jennifer L. Armentrout,YoungAdult,4.38,29269,Magnolia Books,11
The Assassin and the Empire,Sarah J. Maas,Fantasy,4.42,29262,Coral Wave Press,26
The Last Policeman,Ben H. Winters,Mystery,3.79,29262,Magnolia Books,29
"The Day the World Came to Town: 9/11 in Gander, Newfoundland",Jim DeFede,Nonfiction,4.2,29250,Cobalt Blue Books,15
The Assassin and the Underworld,Sarah J. Maas,Fantasy,4.37,29242,Riverbank Books,42
Rock Chick Reckoning,Kristen Ashley,Romance,4.42,29235,Citrine Press,26
The Human Division,John Scalzi,ScienceFiction,4.07,29229,"Global Reads, Coimbatore",37
The Fury,L.J. Smith,YoungAdult,3.53,29220,Riverdale Press,44
"Locke & Key, Vol. 5: Clockworks",Joe Hill,SequentialArt,4.48,29158,BookTown Coimbatore,26
Thunderhead,Douglas Preston,Thriller,4.1,29122,Marigold Press,28
Genghis: Birth of an Empire,Conn Iggulden,Historical,4.35,29114,Pearl Press,27
No Exit,Jean-Paul Sartre,Plays,4.13,29083,Velvet Ink Press,36
Fallen Crest Family,Tijan,Romance,4.26,29065,Coral Wave Press,9
The Medusa Plot,Gordon Korman,Adventure,4.08,29041,Coimbatore Book House,37
White: The Great Pursuit,Ted Dekker,Fantasy,4.3,28965,Quartz Books,32
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William  Davis,Health,3.72,28962,Magnolia Books,50
Billy Lynn's Long Halftime Walk,Ben Fountain,Fiction,3.8,28903,Crimson Press,20
Knocked Out by My Nunga-Nungas,Louise Rennison,YoungAdult,3.96,28827,Indigo Bookworks,2
The Mating,Nicky Charles,Fantasy,3.96,28784,Eastwood Publications,13
Pivot Point,Kasie West,YoungAdult,4.05,28745,Coastal Breeze Publishers,18
Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson,History,4.14,28740,Goldleaf Publishers,49
Kisses from Katie,Katie      Davis,Nonfiction,4.4,28712,Onyx Publishing,25
Honor's Splendour,Julie Garwood,Romance,4.22,28653,BookTown Coimbatore,34
Bones to Ashes,Kathy Reichs,Mystery,3.95,28652,Magnolia Books,23
Stone Soup,Ann McGovern,Childrens,4.3,28641,"Global Reads, Coimbatore",4
Walt Disney's Three Little Pigs (A Little Golden Book),Al Dempster,Childrens,4.22,28610,Ruby Editions,24
I Want My Hat Back,Jon Klassen,Childrens,4.32,28597,Coastal Breeze Publishers,40
The Forever of Ella and Micha,Jessica Sorensen,NewAdult,4.09,28571,Ruby Editions,7
Son of the Shadows,Juliet Marillier,Fantasy,4.33,28564,Marigold Press,40
Dauntless,Jack Campbell,ScienceFiction,3.95,28561,Onyx Publishing,10
Salt Sugar Fat: How the Food Giants Hooked Us,Michael Moss,Nonfiction,3.98,28540,Velvet Ink Press,15
Jerusalem: A Cookbook,Yotam Ottolenghi,FoodAndDrink,4.04,28500,Marigold Press,38
Light on Snow,Anita Shreve,Fiction,3.6,28462,Star Light Publishing,46
Break No Bones,Kathy Reichs,Mystery,3.97,28424,Coral Wave Press,24
Daisy Miller,Henry James,Classics,3.38,28399,Coimbatore Book House,21
Our Man in Havana,Graham Greene,Fiction,3.94,28350,Galaxy Press,14
The Dressmaker,Kate Alcott,Historical,3.47,28294,Silverline Publishers,20
Are You My Mother? A Comic Drama,Alison Bechdel,SequentialArt,3.69,28292,Blue Horizon Publishers,33
V is for Vengeance,Sue Grafton,Mystery,3.97,28287,Cobalt Blue Books,47
The English Girl,Daniel Silva,Fiction,4.13,28276,Amber Ink Publishers,1
For You,Kristen Ashley,Romance,4.19,28273,Riverdale Press,5
"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,Psychology,4.13,28273,Sunrise Books,14
Free Will,Sam Harris,Philosophy,3.87,28270,Magnolia Books,20
The Fallen Star,Jessica Sorensen,Fantasy,3.91,28238,Velvet Ink Press,48
"Y: The Last Man, Vol. 5: Ring of Truth",Brian K. Vaughan,SequentialArt,4.27,28220,Riverdale Press,42
Batman: Dark Victory,Jeph Loeb,SequentialArt,4.13,28213,Mountain View Publishers,16
Friday,Robert A. Heinlein,ScienceFiction,3.84,28207,Quartz Books,15
My Friend Flicka,Mary O'Hara,Animals,4.16,28152,Lotus Book Publishers,9
Until I Die,Amy Plum,YoungAdult,4.16,28091,Lotus Pond Press,8
The Partly Cloudy Patriot,Sarah Vowell,Nonfiction,3.87,28084,Cobalt Blue Books,17
Vinegar Hill,A. Manette Ansay,Fiction,3.39,28082,Coastal Breeze Publishers,49
Epilogue,C.J. Roberts,Dark,4.26,28007,Silver Oak Publishing,30
Lair of Dreams,Libba Bray,Fantasy,4.09,28005,Saffron Reads,29
The Golden Dynasty,Kristen Ashley,Fantasy,4.39,27966,"Omni Books, Coimbatore",34
At Peace,Kristen Ashley,Romance,4.47,27934,Blue Horizon Publishers,32
Mort: The Play,Stephen Briggs,Fantasy,4.29,27912,Amber Ink Publishers,31
Young Zaphod Plays It Safe,Douglas Adams,ScienceFiction,3.68,27889,"Omni Books, Coimbatore",15
Flush,Carl Hiaasen,YoungAdult,3.89,27879,Blue Horizon Publishers,25
Lord Jim,Joseph Conrad,Classics,3.62,27867,"Global Reads, Coimbatore",15
Barefoot Contessa Family Style: Easy Ideas and Recipes That Make Everyone Feel Like Family,Ina Garten,FoodAndDrink,3.96,27831,Blue Horizon Publishers,2
The Bourne Legacy,Eric Van Lustbader,Fiction,3.88,27813,Emerald Isle Publishers,29
Stenhuggaren,Camilla LAAckberg,Mystery,3.9,27806,Teal Publications,50
Wicked Ties,Shayla Black,AdultFiction,3.95,27802,"Global Reads, Coimbatore",12
Confessions of a Murder Suspect,James Patterson,Mystery,3.89,27781,Ruby Editions,42
"The Walking Dead, Vol. 4: The Heart's Desire",Robert Kirkman,SequentialArt,4.21,27770,Coastal Breeze Publishers,15
Defiance,C.J. Redwine,Fantasy,3.67,27705,Cobalt Blue Books,29
Heavier Than Heaven: A Biography of Kurt Cobain,Charles R. Cross,Music,4.07,27692,Teal Publications,24
UnSouled,Neal Shusterman,YoungAdult,4.23,27689,Saffron Reads,47
The Fountains of Paradise,Arthur C. Clarke,ScienceFiction,3.96,27673,Eastwood Publications,18
"Death Note, Vol. 3: Hard Run",Tsugumi Ohba,SequentialArt,4.44,27531,"Urban Leaf Publications, Coimbatore",9
Article 5,Kristen Simmons,ScienceFiction,3.77,27527,Ruby Editions,15
"Death Note, Vol. 4: Love",Tsugumi Ohba,SequentialArt,4.41,27506,Emerald Literatures,40
Shoe Addicts Anonymous,Beth Harbison,WomensFiction,3.6,27489,Coral Wave Press,48
The Kissing Booth,Beth Reekles,Romance,3.55,27471,Jade Books,44
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,Denise Kiernan,Nonfiction,3.69,27450,Maple Leaf Books,42
Sole Survivor,Dean Koontz,Horror,3.8,27447,Quartz Books,49
The Double Bind,Chris Bohjalian,Fiction,3.63,27440,Eastwood Publications,20
Seeds of Rebellion,Brandon Mull,Fantasy,4.28,27435,NorthStar Books,21
Dawn,Erin Hunter,Fantasy,4.33,27408,Jade Books,45
The Prize,Julie Garwood,Romance,4.22,27379,"Global Reads, Coimbatore",10
New York to Dallas,J.D. Robb,Mystery,4.44,27377,Coimbatore Press,39
Dairy Queen,Catherine Gilbert Murdock,YoungAdult,3.74,27368,Ruby Editions,49
From Ashes,Molly McAdams,NewAdult,4.12,27367,Pearl Press,17
Wildwood Dancing,Juliet Marillier,Fantasy,4.09,27367,Star Light Publishing,24
Survivor In Death,J.D. Robb,Mystery,4.4,27360,Teal Publications,14
The Light in the Ruins,Chris Bohjalian,Historical,3.66,27334,CBE Publishers,6
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,History,4.33,27328,Coimbatore Book House,34
The Venetian Betrayal,Steve Berry,Thriller,3.95,27283,Orchid Publications,34
Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,FoodAndDrink,3.83,27279,Diamond Press,46
The Little Lady Agency,Hester Browne,WomensFiction,3.76,27254,Blue Horizon Publishers,13
How Will You Measure Your Life?,Clayton M. Christensen,Nonfiction,4.07,27230,Marigold Press,24
Burn for Burn,Jenny Han,YoungAdult,3.82,27227,Eastwood Publications,50
"One, Two, Buckle My Shoe",Agatha Christie,Mystery,3.79,27205,Sunflower Press,42
Excession,Iain M. Banks,ScienceFiction,4.19,27178,Goldleaf Publishers,21
Between the Lines,Tammara Webber,Romance,3.7,27159,Pearl Press,5
Seven Deadly Wonders,Matthew Reilly,Thriller,4.07,27122,Goldleaf Publishers,39
No Exit and Three Other Plays,Jean-Paul Sartre,Plays,4.09,27119,Goldleaf Publishers,41
A Hologram for the King,Dave Eggers,Fiction,3.29,27080,BookTown Coimbatore,15
Being and Nothingness,Jean-Paul Sartre,Philosophy,3.97,27016,Cherry Blossom Books,43
The Lost Stories,John Flanagan,Fantasy,4.28,27010,Topaz Publishing,40
Those Left Behind,Joss Whedon,SequentialArt,4.04,27004,Silverline Publishers,29
"Locke & Key, Vol. 6: Alpha & Omega",Joe Hill,SequentialArt,4.48,26988,Mountain View Publishers,18
"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers",Margaret George,Historical,4.24,26959,"Omni Books, Coimbatore",2
High Noon,Nora Roberts,Romance,3.99,26940,Sunflower Press,6
Dumb Witness,Agatha Christie,Mystery,3.88,26910,Lotus Book Publishers,11
Shut Out,Kody Keplinger,YoungAdult,3.75,26851,Magnolia Books,42
One for the Murphys,Lynda Mullaly Hunt,RealisticFiction,4.33,26818,Maple Leaf Books,31
This Boy's Life,Tobias Wolff,Autobiography,3.97,26772,"Global Reads, Coimbatore",14
Batman: A Death in the Family,Jim Starlin,SequentialArt,4.08,26750,CBE Publishers,15
Find You in the Dark,A. Meredith Walters,Romance,3.96,26750,Silverline Publishers,18
Winter's Tale,Mark Helprin,Fiction,3.5,26744,Coral Wave Press,8
Haunted,Kelley Armstrong,Fantasy,4.05,26742,Emerald Isle Publishers,40
Brian's Winter,Gary Paulsen,Fiction,4.02,26710,Silver Oak Publishing,39
High-Rise,J.G. Ballard,Fiction,3.61,26704,BookTown Coimbatore,43
Shadow's Claim,Kresley Cole,Romance,4.23,26697,Crimson Press,37
The Astronaut Wives Club,Lily Koppel,Nonfiction,3.32,26618,Mountain View Publishers,12
Knight & Play,Kitty French,Romance,4.03,26595,"Omni Books, Coimbatore",15
Better Off Friends,Elizabeth Eulberg,YoungAdult,3.92,26588,Velvet Ink Press,49
Chosen Prey,John Sandford,Mystery,4.23,26586,Sunflower Press,12
Sometimes It Lasts,Abbi Glines,Romance,4.27,26575,Teal Publications,44
The Family Fang,Kevin    Wilson,Fiction,3.6,26565,Pearl Press,27
Manuscript Found in Accra,Paulo Coelho,Fiction,3.8,26553,Coimbatore Press,23
Give and Take: A Revolutionary Approach to Success,Adam M. Grant,Business,4.07,26535,CBE Publishers,30
Three Act Tragedy,Agatha Christie,Mystery,3.86,26523,Onyx Publishing,20
Two Little Girls in Blue,Mary Higgins Clark,Mystery,3.86,26508,Coimbatore Press,10
Slated,Teri Terry,YoungAdult,4.07,26498,Cobalt Blue Books,5
Servant of the Empire,Raymond E. Feist,Fantasy,4.3,26494,Emerald Literatures,2
The Chronicles of Harris Burdick: Fourteen Amazing Authors Tell the Tales,Chris Van Allsburg,ShortStories,3.99,26424,Mountain View Publishers,6
When She Woke,Hillary Jordan,Fiction,3.67,26422,Diamond Press,49
The Undead Pool,Kim Harrison,Fantasy,4.43,26412,Saffron Reads,25
Schooled,Gordon Korman,YoungAdult,3.84,26397,Coral Wave Press,2
Flotsam,David Wiesner,Childrens,4.21,26388,Jade Books,48
Never Seduce a Scot,Maya Banks,Romance,4.16,26370,Eastwood Publications,46
Of Love and Shadows,Isabel Allende,Fiction,3.98,26362,Mountain View Publishers,46
Apt Pupil,Stephen King,Horror,3.89,26362,BookTown Coimbatore,30
The Yearling,Marjorie Kinnan Rawlings,Classics,4.01,26360,Cobalt Blue Books,41
Laskar Pelangi,Andrea Hirata,Novels,4.21,26343,Lotus Pond Press,26
"Avatar: The Last Airbender - The Search, Part 1",Gene Luen Yang,SequentialArt,4.35,26329,Citrine Press,29
A Week to Be Wicked,Tessa Dare,Romance,4.11,26307,Sunflower Press,12
The Pigman,Paul Zindel,Fiction,3.59,26304,"Urban Leaf Publications, Coimbatore",35
The Line of Beauty,Alan Hollinghurst,Fiction,3.72,26302,Opal Book House,24
This Book Is Full of Spiders,David  Wong,Horror,4.24,26291,Ruby Editions,4
"Loves Music, Loves to Dance",Mary Higgins Clark,Mystery,3.92,26290,Lotus Book Publishers,39
"Y: The Last Man, Vol. 6: Girl on Girl",Brian K. Vaughan,SequentialArt,4.2,26255,Crimson Press,2
Doll Bones,Holly Black,Childrens,3.67,26248,Star Light Publishing,50
Odd Apocalypse,Dean Koontz,Horror,3.97,26225,Fernwood Publishers,37
Fighting for Flight,J.B. Salsbury,Romance,4.14,26208,Pearl Press,25
Rock Chick Revolution,Kristen Ashley,Romance,4.45,26194,Jade Books,20
Something Wonderful,Judith McNaught,Romance,4.32,26179,Maple Leaf Books,29
Safe with Me,Kristen Proby,Romance,4.36,26163,Coastal Breeze Publishers,44
Dare Me,Megan Abbott,Fiction,3.22,26161,Silverline Publishers,33
"Alex Cross, Run",James Patterson,Mystery,4.08,26058,Coimbatore Press,11
The Lost Prince,Julie Kagawa,Fantasy,4.04,25990,Emerald Isle Publishers,43
Clapton: The Autobiography,Eric Clapton,Music,3.81,25974,Sunrise Books,16
Night of the Living Dummy,R.L. Stine,Horror,3.82,25953,Cobalt Blue Books,22
So You Want to Be a Wizard,Diane Duane,Fantasy,3.83,25938,Indigo Bookworks,19
This Song Will Save Your Life,Leila Sales,YoungAdult,3.91,25933,Indigo Bookworks,48
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,Nonfiction,4.14,25930,Velvet Ink Press,46
The Wolf Gift,Anne Rice,Fantasy,3.55,25926,Diamond Press,6
Eragon & Eldest,Christopher Paolini,Fantasy,4.3,25884,CBE Publishers,40
The Hollow,Agatha Christie,Mystery,3.82,25877,Onyx Publishing,35
Blue Nights,Joan Didion,Autobiography,3.84,25874,Mountain View Publishers,11
The Candy Shop War,Brandon Mull,Fantasy,4.06,25866,Silverline Publishers,44
Tales from a Not-So-Smart Miss Know-It-All,Rachel RenAAe Russell,Childrens,4.39,25810,"Global Reads, Coimbatore",46
The Best Man,Kristan Higgins,Romance,3.92,25805,Opal Book House,21
The Mysteries of Pittsburgh,Michael Chabon,Fiction,3.64,25801,Silverline Publishers,1
The Firebird,Susanna Kearsley,Historical,4.08,25785,Pearl Press,19
City of Dragons,Robin Hobb,Fantasy,4.09,25719,BookTown Coimbatore,36
The Whipping Boy,Sid Fleischman,Historical,3.58,25716,CBE Publishers,4
The Art of Thinking Clearly,Rolf Dobelli,Nonfiction,3.84,25698,NorthStar Books,26
The Siren,Tiffany Reisz,Erotica,4.03,25685,Cherry Blossom Books,5
The Bone Garden,Tess Gerritsen,Mystery,4.04,25633,Orchid Publications,36
Spell of the Highlander,Karen Marie Moning,Romance,4.27,25630,"Urban Leaf Publications, Coimbatore",38
The Good Lord Bird,James   McBride,Historical,3.86,25630,CBE Publishers,14
It Chooses You,Miranda July,Nonfiction,3.94,25625,Lotus Book Publishers,5
The Christmas Box,Richard Paul Evans,Holiday,3.96,25623,Orchid Publications,47
A Dog's Journey,W. Bruce Cameron,Fiction,4.41,25596,Sunrise Books,12
Danse Macabre,Stephen King,Horror,3.65,25552,Lotus Book Publishers,18
Winter Solstice,Rosamunde Pilcher,Fiction,4.18,25521,Mountain View Publishers,43
Mrs. Lincoln's Dressmaker,Jennifer Chiaverini,Historical,3.49,25491,Fernwood Publishers,43
Teardrop,Lauren Kate,Fantasy,3.59,25480,Silver Oak Publishing,13
Sever,Lauren DeStefano,YoungAdult,3.79,25470,Jade Books,10
If I Were You,Lisa Renee Jones,Romance,4.12,25454,Amber Ink Publishers,19
Almost Heaven,Judith McNaught,Romance,4.33,25450,Crimson Press,33
Mr. Churchill's Secretary,Susan Elia MacNeal,Mystery,3.7,25433,Magnolia Books,35
The Moviegoer,Walker Percy,Fiction,3.67,25433,Eastwood Publications,44
Who Could That Be at This Hour?,Lemony Snicket,Mystery,3.82,25406,Greenfield Publishing,42
Wicked Nights,Gena Showalter,Romance,4.06,25405,Onyx Publishing,24
Born in Death,J.D. Robb,Mystery,4.36,25389,Citrine Press,17
The King's Curse,Philippa Gregory,Historical,4.01,25388,Eastwood Publications,42
A Dance with Dragons 1: Dreams and Dust,George R.R. Martin,Fantasy,4.35,25379,Blue Horizon Publishers,34
Mortality,Christopher Hitchens,Nonfiction,4.08,25370,Heritage Publishing,3
Lucky Man,Michael J. Fox,Nonfiction,4.01,25332,Mountain View Publishers,11
Mile 81,Stephen King,Horror,3.65,25319,Crimson Press,35
A Universe from Nothing: Why There Is Something Rather Than Nothing,Lawrence M. Krauss,Science,3.93,25316,Quartz Books,20
"Twilight: The Graphic Novel, Vol. 2",Young Kim,SequentialArt,4.28,25314,Greenfield Publishing,37
One Good Earl Deserves a Lover,Sarah MacLean,Romance,4.04,25312,Ruby Editions,37
A Single Man,Christopher Isherwood,Fiction,4.1,25308,Magnolia Books,25
My Friend Dahmer,Derf Backderf,SequentialArt,3.93,25257,Coastal Breeze Publishers,29
Then Came You,Lisa Kleypas,Romance,3.98,25246,BookTown Coimbatore,24
You Had Me At Hello,Mhairi McFarlane,Romance,3.79,25215,Coral Wave Press,12
The Ruby in the Smoke,Philip Pullman,Mystery,3.78,25206,Magnolia Books,10
The Game Changer,J. Sterling,Romance,4.11,25204,Quartz Books,6
All Around the Town,Mary Higgins Clark,Mystery,3.96,25204,Opal Book House,37
The Outcasts,John Flanagan,Fantasy,4.38,25203,Topaz Publishing,12
"King Henry IV, Part 1",William Shakespeare,Plays,3.82,25196,Citrine Press,43
The Dive from Clausen's Pier,Ann Packer,Fiction,3.43,25188,Coral Wave Press,39
Birthright,Nora Roberts,Romance,4.03,25156,"Omni Books, Coimbatore",44
Waking Up Married,Mira Lyn Kelly,Romance,3.53,25134,Coral Wave Press,16
The Devil All the Time,Donald Ray Pollock,Fiction,4.12,25133,Crimson Press,42
S is for Silence,Sue Grafton,Mystery,3.93,25121,Cherry Blossom Books,25
Reviving Ophelia: Saving the Selves of Adolescent Girls,Mary Pipher,Nonfiction,3.88,25118,Coimbatore Book House,19
Written on the Body,Jeanette Winterson,Fiction,4.07,25117,Ruby Editions,34
White Fire,Douglas Preston,Mystery,4.07,25112,Emerald Literatures,31
In One Person,John Irving,Fiction,3.68,25095,Ruby Editions,7
Liar & Spy,Rebecca Stead,Childrens,3.81,25081,NorthStar Books,6
"Carry On, Warrior: Thoughts on Life Unarmed",Glennon Doyle Melton,Nonfiction,4.12,25080,Coral Wave Press,46
The Ghost Bride,Yangsze Choo,Fantasy,3.78,25046,Lotus Book Publishers,33
For Women Only: What You Need to Know About the Inner Lives of Men,Shaunti Feldhahn,Nonfiction,4.06,25028,Sunrise Books,14
The Castle of Otranto,Horace Walpole,Classics,3.18,24981,Sunflower Press,14
Divided in Death,J.D. Robb,Mystery,4.34,24975,Lotus Pond Press,7
The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy J. Keller,Marriage,4.47,24968,Cobalt Blue Books,40
Surrender Your Love,J.C. Reed,Romance,3.9,24927,Orchid Publications,27
A Dance with Dragons 2: After the Feast,George R.R. Martin,Fantasy,4.43,24922,Greenfield Publishing,45
Biting Cold,Chloe Neill,Fantasy,4.1,24886,Pearl Press,14
Blackmoore,Julianne Donaldson,Romance,4.17,24879,Heritage Publishing,19
Rage of a Demon King,Raymond E. Feist,Fantasy,4.06,24873,NorthStar Books,24
My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,Nonfiction,3.89,24793,Ruby Editions,46
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,Biography,4.12,24768,Saffron Reads,4
Fragments,Dan Wells,YoungAdult,4.11,24764,Indigo Bookworks,38
The Dhammapada,Anonymous,Religion,4.25,24714,Goldleaf Publishers,27
Weird Things Customers Say in Bookshops,Jen Campbell,Nonfiction,3.77,24697,Quartz Books,10
Heartbreaker,Julie Garwood,Romance,4.04,24663,"Urban Leaf Publications, Coimbatore",30
The Cat's Table,Michael Ondaatje,Fiction,3.61,24662,Marigold Press,44
Chopsticks,Jessica Anthony,YoungAdult,3.78,24609,Citrine Press,7
Empire of Ivory,Naomi Novik,Fantasy,3.96,24604,Coastal Breeze Publishers,38
Maya's Notebook,Isabel Allende,Fiction,3.84,24602,Mountain View Publishers,43
When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,Economics,4.2,24589,Riverbank Books,7
"Conversations With God: An Uncommon Dialogue, Book 2",Neale Donald Walsch,Spirituality,4.11,24577,Onyx Publishing,42
Death of Kings,Bernard Cornwell,Historical,4.28,24554,Emerald Isle Publishers,12
Bad Rep,A. Meredith Walters,NewAdult,3.9,24524,Teal Publications,6
Dark Gold,Christine Feehan,Romance,4.17,24411,Sunrise Books,20
Perfect Scoundrels,Ally Carter,YoungAdult,4.27,24379,Riverdale Press,34
Bound by Flames,Jeaniene Frost,Fantasy,4.18,24371,Maple Leaf Books,38
Bridge of Sighs,Richard Russo,Fiction,3.77,24361,Opal Book House,31
Raven's Gate,Anthony Horowitz,Fantasy,3.9,24360,Sunflower Press,25
Wicked Cravings,Suzanne Wright,Fantasy,4.09,24312,Silver Oak Publishing,28
Once and Always,Judith McNaught,Romance,4.19,24272,Citrine Press,25
Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,Ross King,History,3.88,24272,Blue Horizon Publishers,9
"Y: The Last Man, Vol. 9: Motherland",Brian K. Vaughan,SequentialArt,4.26,24251,Marigold Press,44
TransAtlantic,Colum McCann,Fiction,3.82,24246,Galaxy Press,11
Double Time,Olivia Cunning,Romance,4.13,24244,Star Light Publishing,30
Curtsies & Conspiracies,Gail Carriger,ScienceFiction,4.12,24242,Indigo Bookworks,48
Tales from a Not-So-Graceful Ice Princess,Rachel RenAAe Russell,Childrens,4.34,24235,Riverdale Press,39
The Christmas Train,David Baldacci,Holiday,3.6,24225,Crimson Press,21
Mrs. McGinty's Dead,Agatha Christie,Mystery,3.86,24220,Greenfield Publishing,8
Main Street,Sinclair Lewis,Classics,3.77,24216,Crimson Press,1
The Duchess War,Courtney Milan,Romance,3.83,24140,Silverline Publishers,31
Of Triton,Anna Banks,Fantasy,3.98,24129,Jade Books,15
Rama II,Arthur C. Clarke,ScienceFiction,3.69,24128,Quartz Books,41
Execution: The Discipline of Getting Things Done,Larry Bossidy,Business,3.87,24124,Crimson Press,31
The Quiche of Death,M.C. Beaton,Mystery,3.74,24092,Heritage Publishing,22
Never Love a Highlander,Maya Banks,Romance,4.22,24071,Teal Publications,24
Last Breath,Rachel Caine,Paranormal,4.31,24055,Cherry Blossom Books,49
Once Upon a Marigold,Jean Ferris,Fantasy,4,24055,Coimbatore Press,26
Ask the Passengers,A.S. King,YoungAdult,3.85,24051,"Urban Leaf Publications, Coimbatore",29
Look to Windward,Iain M. Banks,ScienceFiction,4.19,24040,Topaz Publishing,42
Operating Instructions: A Journal of My Son's First Year,Anne Lamott,Autobiography,4.17,24034,Greenfield Publishing,13
Blood of Dragons,Robin Hobb,Fantasy,4.16,24014,Cobalt Blue Books,4
A Land More Kind Than Home,Wiley Cash,Fiction,3.86,23972,BookTown Coimbatore,36
The Last Nude,Ellis Avery,Historical,3.85,23971,Diamond Press,43
Two Graves,Douglas Preston,Mystery,4.03,23966,Cobalt Blue Books,4
Dodger,Terry Pratchett,Historical,3.93,23910,Amber Ink Publishers,34
Tiger's Destiny,Colleen Houck,Fantasy,4.39,23909,Greenfield Publishing,12
Sick Puppy,Carl Hiaasen,Fiction,3.88,23883,Cherry Blossom Books,40
The Yellow Birds,Kevin Powers,Fiction,3.74,23869,Galaxy Press,26
"Swamp Thing, Vol. 1: Saga of the Swamp Thing",Alan Moore,SequentialArt,4.22,23843,Lotus Pond Press,18
Scarlet,A.C. Gaughen,YoungAdult,3.93,23823,Teal Publications,32
The Hidden Child,Camilla LAAckberg,Mystery,3.98,23821,"Urban Leaf Publications, Coimbatore",23
Kiss the Dead,Laurell K. Hamilton,Fantasy,3.82,23777,"Omni Books, Coimbatore",13
The Source of Magic,Piers Anthony,Fantasy,3.88,23770,NorthStar Books,31
Disney Snow White and the Seven Dwarfs,Walt Disney Company,Childrens,4.2,23766,Silverline Publishers,29
Jagged,Kristen Ashley,Romance,4.11,23766,NorthStar Books,36
The Prague Cemetery,Umberto Eco,Fiction,3.46,23742,Indigo Bookworks,7
Third Girl,Agatha Christie,Mystery,3.69,23711,Citrine Press,10
The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer,Harvey Karp,Parenting,3.91,23644,Coastal Breeze Publishers,38
There's Someone Inside Your House,Stephanie Perkins,YoungAdult,3.45,23635,Cherry Blossom Books,11
The Naked and the Dead,Norman Mailer,Fiction,3.94,23619,Topaz Publishing,33
Hark! A Vagrant,Kate Beaton,SequentialArt,4.23,23540,Fernwood Publishers,1
The Lifeboat,Charlotte Rogan,Fiction,3.2,23529,Marigold Press,45
The Garden of Rama,Arthur C. Clarke,ScienceFiction,3.79,23516,Galaxy Press,45
The Valkyries,Paulo Coelho,Fiction,3.32,23503,Amber Ink Publishers,21
The City of Owls,Scott Snyder,SequentialArt,4.27,23497,Pearl Press,42
Pilgrim at Tinker Creek,Annie Dillard,Nonfiction,4.08,23481,Orchid Publications,7
A Light in the Window,Jan Karon,Fiction,4.24,23469,Galaxy Press,31
Princess Mia,Meg Cabot,YoungAdult,3.84,23465,Goldleaf Publishers,29
Kiss of Frost,Jennifer Estep,YoungAdult,4.04,23429,CBE Publishers,20
Contagious: Why Things Catch On,Jonah Berger,Business,3.97,23427,CBE Publishers,2
Rise of the Elgen,Richard Paul Evans,YoungAdult,4.3,23426,Riverdale Press,11
The Case-Book of Sherlock Holmes,Arthur Conan Doyle,Mystery,4.16,23421,Lotus Pond Press,21
